regex,type
(a*)d((ab)*(\1)b|(\1)(ba)*b)*,exponential
(aa*)a(\1)*,polynomial
(a*)d((ab)*(\1)b|(\1)(ba)*b)*,exponential
(a*|b*)b(\1|b)*,exponential
((e|ccc)c(d*e*\1)*d|e*),exponential
(aa|cc)bca(a|c|a(\1)c)*,exponential
((a|bb)*)aaba(\1|bb*aa)*,exponential
(a*)b(a*)b(\1|\2)*,exponential
(a*)b(\1)b(\1|\2)*,exponential
((a*)b\2)*(a*)b\4(\4b\4)*,polynomial
(a*)aa(\1)*dabaa,polynomial
(ab|a)*ab(\1)*bb,polynomial
(ab(a*)aaa)*ab(ab)*bb\1*,exponential
(abbb(b*))b*\2b*ddba,polynomial
abcc*(a|ee)*dce*d(d|c\1*)*,linear
decea*(db)*d\1*d(d)*eb\2,linear
(c|ab)*(ab|ac)(ac|\1)*,polynomial
(c*|(e*|d)ec*)eecdcd*c\2,linear
(bc|da|a)*(ab|ac)\\1\\2a,linear
aaab*da(a(cd|a)*aa\\2)*b,exponential
